sürecek	sür:null ecek:null
babandan	baba:null n:null dan:null
yemeye	ye:null me:null ye:null, ye:null mey:null e:null
zayıfladın	zayıfla:null dı:null n:null
hizmetleri	hizmet:null leri:null, hizmet:null ler:null i:null
filan	filan:null
suratına	surat:null ın:null a:null, surat:null ı:null na:null
zorlukları	zor:null luk:null ları:null, zor:null luk:null lar:null ı:null
bayramlarda	bayram:null lar:null da:null
müdahalesi	müdahale:null si:null
yapalı	yap:null alı:null, yap:null a:null lı:null
kanında	kan:null ı:null nda:null, kanı:null n:null da:null, kan:null ın:null da:null
söylemesi	söyle:null me:null si:null
deli	deli:null
zamanki	zaman:null ki:null
okuldan	okul:null dan:null
rakamları	rakam:null ları:null, rakamla:null r:null ı:null, rakam:null lar:null ı:null
yağmur	yağmur:null
annemgilde	anne:null m:null gil:null de:null
götürsün	götür:null sün:null
taksiye	taksi:null ye:null
gönül	gönül:null
tadını	tad:null ın:null ı:null, tad:null ı:null nı:null
neyse	neyse:null
idare	idare:null
valizini	valiz:null i:null ni:null, valiz:null in:null i:null
yenilince	yen:null il:null ince:null, yeni:null li:null n:null ce:null, ye:null nil:null ince:null
dayımı	dayı:null m:null ı:null, dayı:null mı:null
falandı	fa:null lan:null dı:null
millet	millet:null
nazmi	nazmi:null
feci	feci:null
isteğim	isteğ:null im:null
isteğin	isteğ:null in:null
hatası	hata:null sı:null
yazarın	yaz:null ar:null ın:null, yazar:null ın:null
yokuşun	yokuş:null un:null
havzasında	havza:null sı:null nda:null
kullandığını	kul:null lan:null dığ:null ın:null ı:null, kullan:null dığ:null ı:null nı:null, kullan:null dığ:null ın:null ı:null, kul:null lan:null dığ:null ı:null nı:null
rötarlı	rötar:null lı:null
mutluluk	mutlu:null luk:null, mut:null lu:null luk:null
taktık	tak:null tık:null, tak:null tı:null k:null
cafe'de	cafe:null ':null de:null
konuşmaya	konuş:null may:null a:null, konuşma:null ya:null, konuş:null ma:null ya:null
dahi	dahi:null
daha	daha:null
çağıracak	çağır:null acak:null
bindiğimize	bin:null diğ:null imiz:null e:null
ucunda	uc:null un:null da:null, uc:null u:null nda:null
gayet	gayet:null
gitmeyi	git:null me:null yi:null, git:null mey:null i:null
dostlara	dost:null lar:null a:null
gitmeye	git:null mey:null e:null, git:null me:null ye:null
kaldınız	kal:null dı:null nız:null
hazırlanıp	hazırla:null n:null ıp:null, hazır:null lan:null ıp:null
gitmek	git:null mek:null
gitmem	git:null me:null m:null
gönderdi	gönder:null di:null
kuruş	kur:null uş:null, kuruş:null
ajda	ajda:null
söylesen	söyle:null se:null n:null
bahsetti	bahset:null ti:null
aslında	asl:null ı:null nda:null, as:null lı:null n:null da:null, aslında:null, asl:null ın:null da:null
golden	gol:null den:null
kaçmalı	kaç:null malı:null, kaç:null ma:null lı:null
yumurtayı	yumurta:null yı:null
edebiyat	edebiyat:null
hamam	hamam:null
veyahut	veyahut:null
şartlar	şart:null lar:null, şartla:null r:null
dışı	dışı:null, dış:null ı:null
balayı	balayı:null, bala:null yı:null
maçına	maç:null ın:null a:null, maç:null ı:null na:null
şok	şok:null
satırlar	satır:null lar:null
elemanın	eleman:null ın:null
dediğine	de:null diğ:null i:null ne:null, de:null diğ:null in:null e:null
elemanım	eleman:null ım:null
tutulduktan	tut:null ul:null duk:null tan:null
dostlarımın	dost:null lar:null ım:null ın:null
turşu	turşu:null
dediğini	de:null diğ:null i:null ni:null, de:null diğ:null in:null i:null
yaptıracağız	yap:null tır:null a:null cağız:null
fabrikası	fabrika:null sı:null
handan'a	handan:null ':null a:null
gelmememi	gel:null me:null m:null e:null mi:null
mükemmel	mükemmel:null
kuzuya	kuzu:null ya:null
tadı	tad:null ı:null
mert	mert:null
eskiden	eski:null den:null, eskiden:null
haziran	haziran:null
listesinde	liste:null si:null nde:null
bankalar	banka:null lar:null
birisindekinin	birisi:null nde:null ki:null n:null in:null, birisi:null nde:null ki:null nin:null
ilanına	ilan:null ın:null a:null, ilan:null ı:null na:null
mevsim	mevsim:null
bellisiz	belli:null siz:null, bel:null li:null siz:null
şirketler	şirket:null ler:null
bölge	bölge:null
holding	
tıkır	tıkır:null
yapılan	yap:null ıl:null an:null, yapı:null lan:null, yap:null ıl:null a:null n:null
sorunun	soru:null n:null un:null, soru:null nun:null, sorun:null un:null
barbunyayı	barbunya:null yı:null
hop	hop:null
sanki	sanki:null
misiniz	mi:null si:null niz:null, mis:null iniz:null, mi:null siniz:null
paris	paris:null
serbestliği	serbest:null liğ:null i:null
bekleyince	bekle:null yince:null
soysal	soysal:null
iyimser	iyimser:null
öldüğü	öl:null düğ:null ü:null
üfürmeye	üfür:null mey:null e:null, üfür:null me:null ye:null
hissettiği	hisset:null tiğ:null i:null
garibanlık	gariban:null lık:null
duruma	duru:null m:null a:null, durum:null a:null
şirketin	şirket:null in:null
müsteşarı	müsteşar:null ı:null
zam	zam:null
geldiğinden	gel:null diğ:null in:null den:null, gel:null diğ:null i:null nden:null
durumu	duru:null mu:null, duru:null m:null u:null, durum:null u:null
Üretim	
etkilendi	etki:null len:null di:null, etkile:null n:null di:null
elinden	el:null i:null nden:null, el:null in:null den:null
öğleden	öğle:null den:null
kutay'ı	kutay:null ':null ı:null
alınır	al:null ın:null ır:null, alın:null ır:null
adına	ad:null ı:null na:null, ad:null ın:null a:null
büyütmüş	büyü:null t:null müş:null
habersiz	haber:null siz:null
köylümüz	köy:null lü:null müz:null, köylü:null müz:null
buçukta	buçuk:null ta:null
bundan	bun:null dan:null, bu:null ndan:null
inan	inan:null
kuaförde	kuaför:null de:null
dinç	dinç:null
kişiden	kişi:null den:null
kitaptan	kitap:null tan:null
konuşmaları	konuş:null ma:null ları:null, konuş:null ma:null lar:null ı:null, konuşma:null lar:null ı:null, konuşma:null ları:null
küçüğüm	küçüğ:null üm:null
felan	felan:null
havva'ya	havva:null ':null ya:null
paylaşıldığını	paylaş:null ıl:null dığ:null ın:null ı:null, pay:null laş:null ıl:null dığ:null ın:null ı:null, paylaş:null ıl:null dığ:null ı:null nı:null, pay:null laş:null ıl:null dığ:null ı:null nı:null
etmeyi	et:null me:null yi:null, et:null mey:null i:null
formül	formül:null
düzelecek	düzel:null ecek:null
oynayan	oyna:null ya:null n:null, oyna:null yan:null
neşeli	neşe:null li:null
etmeye	et:null mey:null e:null, et:null me:null ye:null
suşehri'ne	suşehri:null ':null n:null e:null, suşehr:null i:null ':null ne:null
olacaksın	ol:null acak:null sı:null n:null
başla	başla:null
günkü	gün:null kü:null
kerem'i	kerem:null ':null i:null
haber	haber:null
arasında	ara:null sı:null n:null da:null, ara:null sı:null nda:null
ayağımıza	ayağ:null ımız:null a:null
süpürge	süpürge:null
pikniğe	pikniğ:null e:null
boğaz	
size	siz:null e:null
işyerindekilere	işyeri:null nde:null ki:null ler:null e:null, işyer:null i:null nde:null ki:null ler:null e:null, işyeri:null n:null de:null ki:null ler:null e:null
Şirin	Şirin:null
siyah	
grubumuz	grub:null umuz:null
bugün	bugün:null
güney	güney:null
boğazlıyan	boğazlıyan:null
ege	ege:null
fırıncılık	fırın:null cı:null lık:null
içim	iç:null im:null, içim:null, içi:null m:null
saha	saha:null
için	için:null, iç:null in:null, içi:null n:null
dişinin	diş:null i:null nin:null, dişi:null nin:null, diş:null in:null in:null, dişi:null n:null in:null
başkasının	başka:null sı:null n:null ın:null, başka:null sı:null nın:null
kamer'e	kamer:null ':null e:null
üçe	üç:null e:null
içir	iç:null ir:null
metrekarelik	metrekare:null lik:null
sepeti	sepet:null i:null
liralık	lira:null lık:null
kahvaltıdan	kahvaltı:null dan:null
doymuş	doy:null muş:null
ülkelerin	ülke:null ler:null in:null
tuba'nın	tuba:null ':null nın:null, tuba:null ':null n:null ın:null
hanım	han:null ım:null, hanım:null
olmadan	ol:null ma:null dan:null
oldu	ol:null du:null, oldu:null
yapımları	yapım:null lar:null ı:null, yapım:null ları:null
cem	cem:null
cezası	ceza:null sı:null
tavrı	tavr:null ı:null
master	master:null
karpuz	karpuz:null
ikametgahı	ikametgah:null ı:null
psikolojik	psikolojik:null
psikolojim	psikoloji:null m:null
gıda	
yazıldım	yaz:null ıl:null dı:null m:null
ilişkiler	ilişki:null ler:null
giyinik	giyinik:null
emre'ye	emre:null ':null ye:null
olacağa	ol:null acağ:null a:null
geldiğinde	gel:null diğ:null in:null de:null, gel:null diğ:null i:null nde:null
devam	devam:null, deva:null m:null
sayfada	sayfa:null da:null
karanlıkta	karanlık:null ta:null, kar:null an:null lık:null ta:null
yapabilirsin	yap:null abil:null ir:null si:null n:null
yenge	yenge:null
tren	tren:null
sağlam	sağlam:null
evde	ev:null de:null
dekanı	dekan:null ı:null
ayşegül	ayşegül:null
yirmi	yirmi:null
sıkan	sık:null a:null n:null, sık:null an:null
bunlara	bun:null lar:null a:null, bu:null nlar:null a:null
azabı	azab:null ı:null
dünden	d:null ün:null den:null, d:null ü:null nden:null, dün:null den:null
simyacı	simya:null cı:null
duydun	duy:null du:null n:null
duydum	duy:null du:null m:null
olacak	ol:null acak:null
dağıtmış	dağıt:null mış:null
farkına	fark:null ın:null a:null, fark:null ı:null na:null
edilmesi	ed:null il:null me:null si:null
Ömer'i	Ömer:null ':null i:null
yazarım	yazar:null ım:null, yaz:null ar:null ım:null
gazetenin	gazete:null n:null in:null, gazete:null nin:null
canın	can:null ın:null
canım	can:null ım:null
bağı	bağı:null, bağ:null ı:null
ayrıntıları	ayrıntı:null ları:null, ayrıntı:null lar:null ı:null
baktığım	bak:null tığ:null ım:null
dinlemeye	dinle:null me:null ye:null, dinle:null mey:null e:null
cami	cami:null
oyuncak	oyuncak:null
altıda	altı:null da:null
gökyüzüne	gökyüzü:null n:null e:null
maça	maç:null a:null, maça:null
cama	cam:null a:null
şişmiş	şiş:null miş:null
haftasonu	haftasonu:null, haftason:null u:null
devirde	devir:null de:null
sokulması	sok:null ul:null ma:null sı:null, sokul:null ma:null sı:null
şeyinden	şey:null i:null nden:null, şey:null in:null den:null
zorlayıp	zor:null la:null yıp:null, zorla:null yıp:null
başımıza	baş:null ımız:null a:null
yedisinde	yedi:null si:null n:null de:null, yedi:null si:null nde:null
sigara	sigar:null a:null, sigara:null
dönüşte	dön:null üş:null te:null
gezdirmiş	gez:null dir:null miş:null
buram	bura:null m:null
ortalıkta	orta:null lık:null ta:null, ortalık:null ta:null
oruç	oruç:null
dördü	dörd:null ü:null
yapayım	yapay:null ım:null
rica	rica:null
çekilmiş	çekil:null miş:null, çek:null il:null miş:null
kalanlarını	kalan:null ları:null nı:null, kal:null an:null lar:null ın:null ı:null, kal:null an:null lar:null ı:null nı:null, kal:null an:null ları:null nı:null, kalan:null lar:null ın:null ı:null, kalan:null lar:null ı:null nı:null
evet	evet:null
sözcüğünün	sözcüğ:null ün:null ün:null, sözcüğ:null ü:null nün:null
kalktılar	kalk:null tı:null lar:null
kaleme	kalem:null e:null, kale:null m:null e:null
kuşum	kuş:null um:null
kahvaltısına	kahvaltı:null sı:null na:null
boşluk	boş:null luk:null, boşluk:null
bırakacağım	bırak:null acağ:null ım:null
yağdığı	yağ:null dığ:null ı:null
resimdeki	resim:null de:null ki:null
kullanabilirsiniz	kullan:null abil:null ir:null si:null niz:null, kul:null lan:null abil:null ir:null si:null niz:null
kestirme	kes:null tir:null me:null
sınavından	sınav:null ı:null ndan:null, sınav:null ın:null dan:null
bekledi	bekle:null di:null
karışıklık	karışık:null lık:null
sigortanın	sigorta:null nın:null, sigorta:null n:null ın:null
stajda	staj:null da:null
kenarlarını	kenar:null lar:null ı:null nı:null, kenar:null ları:null nı:null, kenar:null lar:null ın:null ı:null
ayın	ayı:null n:null, ay:null ın:null, ayın:null
maaşıma	maaş:null ım:null a:null
kaybedeceksiniz	kaybed:null ecek:null si:null niz:null
şişti	şiş:null ti:null
iri	iri:null
refik	refik:null
ayıp	ayıp:null, ay:null ıp:null
ayır	ayır:null
yapabilen	yap:null abil:null e:null n:null, yap:null abil:null en:null
göstereceğim	göster:null eceğ:null im:null
asker	asker:null
kardeş	kardeş:null
söyleşi	söyleşi:null
söylediler	söyle:null di:null ler:null
ikiye	iki:null ye:null
minibüste	minibüs:null te:null
ikiyi	iki:null yi:null
öğrenci	öğrenci:null
hizmetçilerin	hizmetçi:null ler:null in:null, hizmet:null çi:null ler:null in:null
mutfak	mutfak:null
niye	niye:null
erkekliğe	erkek:null liğ:null e:null
serkan	serkan:null
seans	seans:null
zaten	zaten:null
taksim'e	taksim:null ':null e:null
gerilmişim	ger:null il:null miş:null im:null
şampiyon	şampiyon:null
ergün'ün	ergün:null ':null ün:null
deniz'i	deniz:null ':null i:null
içine	içi:null n:null e:null, iç:null in:null e:null, iç:null i:null ne:null, için:null e:null
ödevlerini	ödev:null leri:null ni:null, ödev:null ler:null in:null i:null, ödev:null ler:null i:null ni:null
sual	sual:null
geziye	gezi:null ye:null
yalan	ya:null la:null n:null, yalan:null, yala:null n:null
deniz'e	deniz:null ':null e:null
korkak	korkak:null
senelerin	sene:null ler:null in:null
oraya	ora:null ya:null
aynısını	aynı:null sı:null nı:null, aynı:null sı:null n:null ı:null
tarzını	tarz:null ın:null ı:null, tarz:null ı:null nı:null
demiş	de:null miş:null
iletti	ilet:null ti:null
mezunu	mezun:null u:null
karşılığının	karşılığ:null ı:null nın:null, karşı:null lığ:null ın:null ın:null, karşı:null lığ:null ı:null nın:null, karşılığ:null ın:null ın:null
yanına	yan:null ın:null a:null, yan:null ı:null na:null
bileğim	bileğ:null im:null, bileği:null m:null
kağıt	kağıt:null
dolacak	dol:null acak:null
İngilizcenin	İngiliz:null ce:null n:null in:null, İngilizce:null n:null in:null, İngiliz:null ce:null nin:null, İngilizce:null nin:null
yaramaz	yaramaz:null
kesilmiş	kes:null il:null miş:null
bil	bil:null
kenan'ın	kenan:null ':null ın:null
yapma	yap:null ma:null, yapma:null
tavsiye	tavsiye:null
hıı	hıı:null
olduğuna	ol:null duğ:null u:null na:null, ol:null duğ:null un:null a:null
durağının	durağ:null ı:null nın:null, durağ:null ın:null ın:null
sayfamı	sayfa:null mı:null, sayfa:null m:null ı:null
tahsin	tahsin:null
muhakkak	muhakkak:null
simit	simit:null
kızının	kız:null ı:null nın:null, kız:null ın:null ın:null
doğrusu	doğru:null su:null, doğrusu:null
metehan	metehan:null
geçelim	geç:null e:null lim:null, geçe:null li:null m:null, geç:null eli:null m:null, geç:null e:null li:null m:null
karımız	karı:null mız:null, kar:null ımız:null
açmışlar	aç:null mış:null lar:null
oyuncunun	oyun:null cu:null n:null un:null, oyun:null cu:null nun:null
fazlası	fazla:null sı:null
inceleyip	incele:null yip:null
bayram	bayram:null
kızla	kız:null la:null
bayrak	bayrak:null
izinler	izin:null ler:null
ettiler	et:null ti:null ler:null
hallettik	hallet:null tik:null, hallet:null ti:null k:null
yüksekokul	yüksekokul:null
hallettim	hallet:null ti:null m:null
futbolda	futbol:null da:null
çelik	çelik:null
satmam	sat:null ma:null m:null
biz	biz:null
mankenlik	manken:null lik:null
girme	gir:null me:null
seçkin	seçkin:null
giyilen	giy:null il:null e:null n:null, giy:null il:null en:null
atik	atik:null
peteği	peteğ:null i:null
galiba	galiba:null
altısında	altı:null sı:null n:null da:null, altı:null sı:null nda:null
borcun	bor:null cu:null n:null, borc:null un:null
özgün	özgün:null, özgü:null n:null
hak	hak:null
hal	hal:null
ilki	ilk:null i:null
ilke	ilk:null e:null, ilke:null
isimli	isim:null li:null
haz	haz:null
soldan	sol:null dan:null
yuvarlanıp	yuvar:null lan:null ıp:null, yuvarla:null n:null ıp:null
has	has:null
bahçeleri	bahçe:null leri:null, bahçe:null ler:null i:null
sarma	sarma:null, sar:null ma:null
sayfaya	sayfa:null ya:null
söylemem	söyle:null me:null m:null
büyümeye	büyü:null mey:null e:null, büyü:null me:null ye:null
söylemek	söyle:null mek:null
dışarıyı	dışarı:null yı:null
belediye	belediye:null
kapanınca	kapan:null ınca:null, kapan:null ı:null nca:null, kap:null an:null ın:null ca:null, kapan:null ın:null ca:null, kap:null an:null ı:null nca:null
sürer	sür:null er:null
gördüm	gör:null dü:null m:null
gördün	gör:null dü:null n:null
elemanlar	eleman:null lar:null
gördük	gör:null dü:null k:null, gör:null dük:null
başım	baş:null ım:null
şekilde	şekil:null de:null
burak'ı	burak:null ':null ı:null
İspanya'nın	İspanya:null ':null nın:null, İspanya:null ':null n:null ın:null
doğrusunu	doğru:null su:null n:null u:null, doğru:null su:null nu:null, doğrusu:null n:null u:null
bize	biz:null e:null
bizi	biz:null i:null
sürdü	sür:null dü:null
arkasına	arka:null sı:null n:null a:null, arka:null sı:null na:null
düz	düz:null
civarında	civar:null ın:null da:null, civar:null ı:null nda:null
gösterir	göster:null ir:null
dün	d:null ün:null, dün:null
bodrum	bodrum:null
izleyeceğim	izle:null yeceğ:null im:null
baktın	bak:null tı:null n:null
baktım	bak:null tı:null m:null
izleyeceğiz	izle:null ye:null ceğiz:null
baktık	bak:null tık:null, bak:null tı:null k:null
adet	adet:null
dağıtacak	dağıt:null acak:null
başvurabilir	başvur:null abil:null ir:null
matmazel	matmazel:null
kurana	kura:null n:null a:null, kur:null a:null n:null a:null, kur:null an:null a:null
o	o:null
sevgi	sevgi:null
çarşamba	çarşamba:null
durdurabilecek	dur:null dur:null abil:null ecek:null
aşağısında	aşağı:null sı:null nda:null, aşağı:null sı:null n:null da:null
sol	sol:null
davranırlar	davran:null ır:null lar:null
son	son:null
sor	sor:null
saniyen	saniye:null n:null
dursun	dur:null sun:null
açılır	aç:null ıl:null ır:null
ödemesi	öde:null me:null si:null
arçelik	arçelik:null
odunları	odun:null lar:null ı:null, odun:null ları:null
harbiden	harbi:null den:null
işimiz	iş:null imiz:null
barbaros	barbaros:null
sözlüden	söz:null lü:null den:null, sözlü:null den:null
yarına	yarı:null n:null a:null, yarın:null a:null, yar:null ı:null na:null, yar:null ın:null a:null
fotoğrafçım	fotoğraf:null çı:null m:null
soda	
verdi	verdi:null, ver:null di:null
kendileri	kendileri:null, kendi:null leri:null, kendi:null ler:null i:null
yetişirim	yetiş:null ir:null im:null
fırsatım	fırsat:null ım:null
sorun	sorun:null, sor:null un:null, soru:null n:null
soruda	soru:null da:null
baza	baz:null a:null
kaynana	kaynana:null, kayna:null n:null a:null
hatice'nin	hatice:null ':null n:null in:null, hatice:null ':null nin:null
tatsızım	tat:null sız:null ım:null
üzüntüye	üzüntü:null ye:null
ocakta	ocak:null ta:null
kapalı	kap:null a:null lı:null, kapalı:null, kap:null alı:null
içki	içki:null
teknolojik	teknolojik:null
peynir	peynir:null
bugünlerde	bugün:null ler:null de:null
sesli	sesli:null, ses:null li:null
nükhet	nükhet:null
boyunca	boyun:null ca:null, boy:null u:null nca:null, boy:null un:null ca:null, boyu:null n:null ca:null
esra'yı	esra:null ':null yı:null
aylık	aylık:null, ay:null lık:null
eşya	eşya:null
yiğidin	yiğid:null in:null
düşündü	düşün:null dü:null
sesimde	ses:null im:null de:null
kalktım	kalk:null tı:null m:null
kalktın	kalk:null tı:null n:null
burak'a	burak:null ':null a:null
kalktık	kalk:null tı:null k:null, kalk:null tık:null
merhaba	merhaba:null
öğretmenlerim	öğretmen:null ler:null im:null
ülkeye	ülke:null ye:null
patates	patates:null
meşgul	meşgul:null
gözüm	göz:null üm:null
takla	takla:null
teklifi	teklif:null i:null
ağrısını	ağrı:null sı:null nı:null
modeli	model:null i:null
ayran	ayran:null, ayr:null an:null, ayr:null a:null n:null
tanesini	tane:null si:null ni:null
uyarması	uyar:null ma:null sı:null
lazım	lazım:null
rehberimde	rehber:null im:null de:null
asla	asl:null a:null, asla:null
hissetmeni	hisset:null me:null n:null i:null
karnesine	karne:null si:null ne:null
hakemin	hakem:null in:null
aytaç	aytaç:null
osu	o:null su:null
yüzme	yüz:null me:null
bulabildim	bul:null abil:null di:null m:null
bulabildin	bul:null abil:null di:null n:null
düşünmem	düşün:null me:null m:null
bulabildik	bul:null abil:null dik:null, bul:null abil:null di:null k:null
maalesef	maalesef:null
yeşillik	yeşil:null lik:null
binmiş	bin:null miş:null
denemenin	deneme:null nin:null, deneme:null n:null in:null, dene:null me:null n:null in:null, dene:null me:null nin:null
ver	v:null er:null, ver:null
maşallah	maşallah:null
yırtalım	yırt:null a:null lı:null m:null, yırt:null a:null lım:null, yırt:null alı:null m:null
yere	ye:null r:null e:null, yer:null e:null
kontör	kontör:null
orçun'a	orçun:null ':null a:null
aşçı	aş:null çı:null, aşçı:null
çalışıp	çalış:null ıp:null
maçında	maç:null ın:null da:null, maç:null ı:null nda:null
konusunda	konu:null su:null nda:null
göğsümüzü	göğs:null ümüz:null ü:null
tuğba	tuğba:null
peştamalları	peştamal:null lar:null ı:null, peştamal:null ları:null
Üniversitesi	
gönderdik	gönder:null di:null k:null, gönder:null dik:null
gönderdin	gönder:null di:null n:null
belki	belki:null
yapacaksın	yap:null acak:null sı:null n:null
klimalı	klima:null lı:null
kullandım	kullan:null dı:null m:null, kul:null lan:null dı:null m:null
tiye	ti:null ye:null
kıyametleri	kıyamet:null leri:null, kıyamet:null ler:null i:null
atıştırmalık	atıştır:null ma:null lık:null, atış:null tır:null ma:null lık:null, at:null ış:null tır:null ma:null lık:null
öğrenmesi	öğren:null me:null si:null
türk	türk:null
alışıksınız	alışık:null sı:null nız:null
süreçte	süreç:null te:null
fiyatına	fiyat:null ı:null na:null, fiyat:null ın:null a:null
mahallesine	mahalle:null si:null ne:null
yağmış	yağ:null mış:null
İzmir'de	İzmir:null ':null de:null
kör	kör:null
kös	kös:null
köy	köy:null
banyo	banyo:null
gecede	gece:null de:null
hikayeni	hikaye:null n:null i:null
eşimin	eş:null im:null in:null
işsizliğin	iş:null siz:null liğ:null in:null, işsiz:null liğ:null in:null
dizisinin	dizi:null si:null nin:null
sendikaya	sendika:null ya:null
konularda	konu:null lar:null da:null
malzemesi	malzeme:null si:null
dershanen	dershane:null n:null
araştırsın	araştır:null sın:null, ara:null ş:null tır:null sın:null
yoğunsun	yoğun:null su:null n:null
tuhaf	tuhaf:null
avusturya'dan	avusturya:null ':null dan:null
iyiler	iyi:null ler:null
boru	bor:null u:null
dönecek	dön:null ecek:null
anadolu	anadol:null u:null, anadolu:null
vücudu	vücud:null u:null
olabilir	ol:null abil:null ir:null
hissettim	hisset:null ti:null m:null
onla	o:null nla:null
yaprağı	yaprağ:null ı:null
ramazan	ramazan:null
sayacağız	say:null a:null cağız:null, saya:null cağız:null
vatandaşlardan	vatandaş:null lar:null dan:null
kendisini	kendi:null si:null ni:null, kendisi:null ni:null, kendi:null si:null n:null i:null
saatte	saat:null te:null
kendisine	kendi:null si:null n:null e:null, kendisi:null ne:null, kendi:null si:null ne:null
doldurduktan	dol:null dur:null duk:null tan:null
dışarda	dışar:null da:null
narlıdere'dekine	narlıdere:null ':null de:null ki:null n:null e:null, narlıdere:null ':null de:null ki:null ne:null
birimiz	bir:null imiz:null
kırktan	kırk:null tan:null
beyefendi	beyefendi:null
meyve	meyve:null
filmi	fil:null mi:null, film:null i:null
benden	bende:null n:null, ben:null den:null
penaltıyı	penaltı:null yı:null
önce	ön:null ce:null, önce:null
emlak	emlak:null
ticaret	ticaret:null
taşova	taşova:null
söğüt	söğüt:null
yönetimi	yönetim:null i:null
aslı	asl:null ı:null, as:null lı:null
ocağına	ocağ:null ı:null na:null, ocağ:null ın:null a:null
ayarlasın	ayarla:null sın:null
ablası	abla:null sı:null
kazık	kazık:null
otel	
tanıdıklardan	tanıdık:null lar:null dan:null, tanı:null dık:null lar:null dan:null
sesleri	sesle:null r:null i:null, ses:null ler:null i:null, ses:null leri:null
kapatmasın	kapat:null ma:null sı:null n:null, kapa:null t:null ma:null sı:null n:null
tembihledin	tembihle:null di:null n:null
köylerinin	köy:null leri:null nin:null, köy:null ler:null in:null in:null, köy:null ler:null i:null nin:null
selamlarımı	selam:null lar:null ı:null mı:null, selamla:null r:null ı:null mı:null, selam:null lar:null ım:null ı:null, selamla:null r:null ım:null ı:null, selam:null ları:null mı:null
biriniz	bir:null iniz:null
otobana	otoban:null a:null
başlamışlar	başla:null mış:null lar:null
aileni	aile:null n:null i:null
eski	eski:null
birinin	bir:null i:null nin:null, bir:null in:null in:null
kömür	kömür:null
coğrafyasında	coğrafya:null sı:null nda:null
giyebilmesi	giy:null ebil:null me:null si:null
ramazan'a	ramazan:null ':null a:null
bavulumuz	bavul:null umuz:null
dokunsun	doku:null n:null sun:null, dokun:null sun:null
sağanak	sağanak:null
devamsızlığı	deva:null m:null sız:null lığ:null ı:null, devam:null sız:null lığ:null ı:null
kumaşının	kumaş:null ı:null nın:null, kumaş:null ın:null ın:null
yakınımda	yakın:null ım:null da:null
şeyde	şey:null de:null
muş	muş:null
atak	atak:null
ödenecek	öde:null n:null ecek:null
atan	at:null a:null n:null, at:null an:null, ata:null n:null
marmara'nın	marmara:null ':null nın:null, marmara:null ':null n:null ın:null
spor	spor:null
söylesin	söyle:null sin:null
noktalara	nokta:null lar:null a:null, noktala:null r:null a:null
yarıyı	yarı:null yı:null
atar	ata:null r:null, at:null ar:null
hayır	hayır:null
eşyanız	eşya:null nız:null
billahi	billahi:null
su	su:null
hayallerimiz	hayal:null ler:null imiz:null
zekasını	zeka:null sı:null nı:null
stresi	stres:null i:null
birdenbire	birdenbire:null
izlemeyi	izle:null mey:null i:null, izle:null me:null yi:null
izlemeye	izle:null me:null ye:null, izle:null mey:null e:null
şimşek	şimşek:null
zamanlı	zaman:null lı:null
