umhlaba	u m hlaba
emlonyeni	e m lony eni
wayesezibonela	w a ye se zi bon el a
ayelokhu	a ye lokhu
usehlulekile	u se hlulek ile
ihlo	i hlo
abawa	a ba w a
akafuni	a ka fun i
abahle	a ba hle
yomlamu	y o m lamu
ngomlomo	ng o m lomo
nodokotela	n o dokotela
engisithandayo	e ngi si thand a yo
imidati	i mi dati
osengathi	o sengathi
nokuzonda	n o ku zond a
okungcono	o ku ngcono
asisahlezi	a si sa hlez i
esenziwa	e s enz iw a
ayesezilahle	a ye se zi lahl e
lubhekene	lu bhek en e
ufundela	u fund el a
esiwuqhotho	e si w u qhotho
nothisha	n o thisha
kovalo	k o valo
isango	i sango
amaphoyisa	a ma phoyisa
ngesinye	ng e si nye
empunzini	e m punz ini
ngibanjiwe	ngi banj iw e
ephela	e phel a
uyakukhumbula	u ya ku khumbul a
angazi	a ng azi
ukungayi	u ku nga y i
angaze	a ngaz e, a nga ze
sathula	s a thul a
azombulala	a zo m bulal a
ayeneliswa	a y enel is w a
licisha	li cish a
lomuntu	l o mu ntu
ukubeka	u ku bek a
kumike	ku m i ke
ezasephusheni	e za se phush eni
engasatholi	e nga sa thol i
kwenqatshiwe	kw enqatsh iw e
uthokozile	u thokoz ile
ethengela	e theng el a
ngiyagomela	ngi ya gom el a
emgqeni	e m gq eni
ugumede	u gumede
wadonsa	w a dons a
ukuyofakelwa	u ku yo fak el w a
nawe	na we
bakhona	ba kho na
babephilisa	ba be phil is a
ngaphambi	nga phambi
aphuma	a phum a
aphume	a phum e
kungababi	ku nga bab i
yokwehla	y o kw ehl a
ngelinye	ng e li nye
nanokuthi	na n o kuthi
kuyahlanganwa	ku ya hlangan w a
ngihambe	ngi hamb e
ngihamba	ngi hamb a
ngodishani	ng o dishani
bakhathazwe	ba khathaz w e
lasezingobhe	la se zin gobhe
esibozini	e si boz ini
emude	e mu de
matanami	ma tanami
ukoba	u ko b a
nokuphila	n o ku phil a
